Scheme_Name	Asset_Value
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1232.9689
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1458.3393
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11.7065
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11.0236
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21.8981
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth	44.8201
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.1580
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus	21.7644
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth	44.1683
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.1932
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1035
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth	35.6206
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4908
TRUSTMF BANKING & PSU FUND - DIRECT GROWTH	1331.6414
TRUSTMF BANKING & PSU FUND - REGULAR GROWTH	1300.0317
TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1168.0679
TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1323.3085
TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1155.6829
TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1174.8655
TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1131.8068
TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1138.1561
TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1244.2237
TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1134.1714
TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1146.7108
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1113.5837
UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13.5421
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	19.7465
UTI Banking & PSU Fund - Direct Plan - Growth Option	22.9149
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	15.2057
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.5767
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	17.0552
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	13.281
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	15.0945
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	15.0312
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.3357
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.4465
UTI Banking & PSU Fund- Regular Plan - Growth Option	22.5086
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	117.7575
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	115.7083
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.9666
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.8732
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.3082
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.666
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2348
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2771
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14.5198
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3721
Axis Corporate Bond Fund - Direct Plan Growth	18.6114
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.2347
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.2300
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13.5556
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2535
Axis Corporate Bond Fund - Regular Plan Growth	17.5450
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.7731
BANDHAN Corporate Bond Fund - Direct Growth	20.3001
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.6277
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3786
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	13.4677
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.7015
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.7437
BANDHAN Corporate Bond Fund - Regular Growth	19.6894
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.0160
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.6312
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	13.2732
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.7333
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.7855
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	32.7407
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.4694
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.5229
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	12.0503
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	30.0631
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.6554
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.7536
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	11.7092
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	28.2877
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.5119
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.5344
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	23.8143
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.6809
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	22.1701
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.8231
DSP Corporate Bond Fund - Direct - Growth	16.6881
DSP Corporate Bond Fund - Direct - IDCW	11.801
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.6127
DSP Corporate Bond Fund - Direct - IDCW - Quarterly	11.439
DSP Corporate Bond Fund - Regular - Growth	16.3858
DSP Corporate Bond Fund - Regular - IDCW	11.7591
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.5878
DSP Corporate Bond Fund - Regular - IDCW - Quarterly	10.784
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	111.0387
Franklin India Corporate Debt Fund - Growth	102.3105
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	17.4656
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	19.6541
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	14.9182
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	17.2928
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.8525
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.6453
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	15.4076
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	12.1690
HDFC Corporate Bond Fund - Growth Option	33.3528
HDFC Corporate Bond Fund - Growth Option - Direct Plan	34.1146
HDFC Corporate Bond Fund - IDCW Option	20.1907
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	20.903
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.5988
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.4985
HSBC Corporate Bond Fund - Direct Annual IDCW	12.3263
HSBC Corporate Bond Fund - Direct Growth	80.1331
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.5335
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.1436
HSBC Corporate Bond Fund - Regular Annual IDCW	12.0499
HSBC Corporate Bond Fund - Regular Growth	75.1556
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.1198
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	16.8265
HSBC Corporate Bond Fund -Regular Plan - Bonus	28.5481
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	32.1650
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2654
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.6209
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	30.6808
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.4195
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW	11.2891
ICICI Prudential Corporate Bond Fund Retail Daily Dividend	10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	10.3041
ICICI Prudential Corporate Bond Fund Retail Growth	22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend	10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend	10.2202
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment)	2013.6635
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1289.061
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)	3500.5467
Invesco India Corporate Bond Fund - Direct Plan - Growth	3499.4294
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1260.6869
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1176.4618
